Locus_Tag_Gene,Locus_Tag,Product
NLM32_RS05820,NLM32_RS05820_0_354,hypothetical protein
NLM32_RS05825,NLM32_RS05825_373_1189,IS630 family transposase
NLM32_RS05830,NLM32_RS05830_1285_1507,transposase domain-containing protein
NLM32_RS05835,NLM32_RS05835_1825_2044,hypothetical protein
NLM32_RS05840,NLM32_RS05840_2030_4103,recombinase family protein
NLM32_RS05845,NLM32_RS05845_4130_5483,IS66 family transposase
NLM32_RS05850,NLM32_RS05850_5608_5962,IS66 family insertion sequence element accessory protein TnpB
NLM32_RS05855,NLM32_RS05855_5942_6341,transposase
NLM32_RS45715,NLM32_RS45715_6452_6953,cytochrome P450
NLM32_RS05865,NLM32_RS05865_7270_7627,hypothetical protein
NLM32_RS05870,NLM32_RS05870_8043_9567,AMP-binding protein
NLM32_RS05875,NLM32_RS05875_9563_10970,malonyl-CoA decarboxylase
NLM32_RS05880,NLM32_RS05880_11089_12295,diaminopropionate ammonia-lyase
NLM32_RS05885,NLM32_RS05885_12467_13694,hydantoinase/carbamoylase family amidase
NLM32_RS05890,NLM32_RS05890_13745_14903,amidohydrolase
NLM32_RS05895,NLM32_RS05895_14940_16038,transporter substrate-binding domain-containing protein
NLM32_RS05900,NLM32_RS05900_16286_16979,ATP-binding cassette domain-containing protein
NLM32_RS05905,NLM32_RS05905_17140_18280,ABC transporter permease subunit
NLM32_RS05910,NLM32_RS05910_18282_19482,ABC transporter permease subunit
NLM32_RS05915,NLM32_RS05915_19593_20601,transporter substrate-binding domain-containing protein
NLM32_RS05920,NLM32_RS05920_20781_22218,M20/M25/M40 family metallo-hydrolase
NLM32_RS05925,NLM32_RS05925_22567_23068,Lrp/AsnC ligand binding domain-containing protein
NLM32_RS05930,NLM32_RS05930_23079_25998,FAD-binding protein
NLM32_RS05935,NLM32_RS05935_26252_26958,GntR family transcriptional regulator
NLM32_RS05940,NLM32_RS05940_27108_28290,aminotransferase class V-fold PLP-dependent enzyme
NLM32_RS05945,NLM32_RS05945_28875_30462,gamma-glutamyltransferase
NLM32_RS05950,NLM32_RS05950_31044_32055,SDR family oxidoreductase
NLM32_RS05955,NLM32_RS05955_32408_33053,TetR/AcrR family transcriptional regulator
NLM32_RS05960,NLM32_RS05960_33079_34054,oxidoreductase
NLM32_RS05965,NLM32_RS05965_34071_34647,peroxidase-related enzyme
NLM32_RS05970,NLM32_RS05970_34660_35863,acyl-CoA dehydrogenase family protein
NLM32_RS05975,NLM32_RS05975_35914_36868,LysR family transcriptional regulator
NLM32_RS05980,NLM32_RS05980_37033_37369,hypothetical protein
NLM32_RS05985,NLM32_RS05985_37386_37785,SRPBCC family protein
NLM32_RS05990,NLM32_RS05990_38499_39735,FAD-dependent oxidoreductase
NLM32_RS05995,NLM32_RS05995_39829_40672,transporter substrate-binding domain-containing protein
NLM32_RS06000,NLM32_RS06000_40676_41648,proline racemase family protein
NLM32_RS06005,NLM32_RS06005_41659_42313,ABC transporter permease subunit
NLM32_RS06010,NLM32_RS06010_42312_43158,ATP-binding cassette domain-containing protein
NLM32_RS06015,NLM32_RS06015_43164_44064,dihydrodipicolinate synthase family protein
NLM32_RS06020,NLM32_RS06020_44225_45659,aldehyde dehydrogenase family protein
NLM32_RS06025,NLM32_RS06025_45695_47084,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM32_RS06030,NLM32_RS06030_47243_47630,tautomerase family protein
NLM32_RS06035,NLM32_RS06035_47903_49250,aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
NLM32_RS06040,NLM32_RS06040_49264_50458,phosphotransferase
NLM32_RS06045,NLM32_RS06045_50399_51191,ABC transporter permease subunit
NLM32_RS06050,NLM32_RS06050_51187_51985,ATP-binding cassette domain-containing protein
NLM32_RS06055,NLM32_RS06055_51995_52976,ABC transporter substrate-binding protein
NLM32_RS06060,NLM32_RS06060_53175_55260,hydantoinase/oxoprolinase family protein
NLM32_RS06065,NLM32_RS06065_55271_57008,hydantoinase B/oxoprolinase family protein
NLM32_RS06070,NLM32_RS06070_57004_57853,TIM barrel protein
NLM32_RS06075,NLM32_RS06075_57884_58559,TetR family transcriptional regulator
NLM32_RS06080,NLM32_RS06080_58744_59416,hypothetical protein
NLM32_RS06085,NLM32_RS06085_59495_60752,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM32_RS06090,NLM32_RS06090_60760_62323,aldehyde dehydrogenase family protein
NLM32_RS06095,NLM32_RS06095_62358_63798,DUF1338 family protein
NLM32_RS06100,NLM32_RS06100_63915_64818,LysR substrate-binding domain-containing protein
NLM32_RS06105,NLM32_RS06105_65360_66920,AMP-binding protein
NLM32_RS06110,NLM32_RS06110_66932_67742,enoyl-CoA hydratase-related protein
NLM32_RS06115,NLM32_RS06115_67864_68920,hypothetical protein
NLM32_RS06120,NLM32_RS06120_68964_70026,extracellular solute-binding protein
NLM32_RS06125,NLM32_RS06125_70139_70928,ABC transporter permease subunit
NLM32_RS06130,NLM32_RS06130_71004_71736,ABC transporter permease subunit
NLM32_RS06135,NLM32_RS06135_71815_72865,ABC transporter ATP-binding protein
NLM32_RS06140,NLM32_RS06140_72869_73682,helix-turn-helix domain-containing protein
NLM32_RS06145,NLM32_RS06145_73753_74683,LysR family transcriptional regulator
NLM32_RS45720,NLM32_RS45720_75040_75172,hypothetical protein
NLM32_RS06150,NLM32_RS06150_75916_77473,AMP-binding protein
NLM32_RS06155,NLM32_RS06155_77550_78504,nitronate monooxygenase
