Locus_Tag_Gene,Locus_Tag,Product
NLM25_RS07240,NLM25_RS07240_0_1617,flagellar M-ring protein FliF
NLM25_RS07245,NLM25_RS07245_1809_2085,DUF1153 domain-containing protein
NLM25_RS07250,NLM25_RS07250_2471_3179,flagellar biosynthesis protein FlgD
NLM25_RS07255,NLM25_RS07255_3192_4824,flagellar hook-length control protein FliK
NLM25_RS07260,NLM25_RS07260_5154_6336,tRNA 2-thiouridine(34) synthase MnmA
NLM25_RS07265,NLM25_RS07265_6358_6997,methyltransferase domain-containing protein
NLM25_RS07270,NLM25_RS07270_7168_7531,hypothetical protein
NLM25_RS07280,NLM25_RS07280_8194_8446,hypothetical protein
NLM25_RS07285,NLM25_RS07285_8458_9454,recombinase family protein
NLM25_RS07290,NLM25_RS07290_9392_9674,hypothetical protein
NLM25_RS07295,NLM25_RS07295_10060_11726,recombinase family protein
NLM25_RS07300,NLM25_RS07300_11845_13018,type IV secretion system DNA-binding domain-containing protein
NLM25_RS07305,NLM25_RS07305_13033_13396,hypothetical protein
NLM25_RS07310,NLM25_RS07310_13736_14147,DUF3085 domain-containing protein
NLM25_RS07315,NLM25_RS07315_14553_14796,hypothetical protein
NLM25_RS07320,NLM25_RS07320_14815_15388,hypothetical protein
NLM25_RS07325,NLM25_RS07325_16173_16497,hypothetical protein
NLM25_RS07330,NLM25_RS07330_16795_17080,DUF3892 domain-containing protein
NLM25_RS07335,NLM25_RS07335_17843_18041,cold-shock protein
NLM25_RS07340,NLM25_RS07340_18604_19018,hypothetical protein
NLM25_RS07345,NLM25_RS07345_20688_21195,hypothetical protein
NLM25_RS07350,NLM25_RS07350_21534_21927,hypothetical protein
NLM25_RS07355,NLM25_RS07355_22854_23367,hypothetical protein
NLM25_RS07360,NLM25_RS07360_23839_24751,MFS transporter
NLM25_RS07365,NLM25_RS07365_25189_26238,integrase family protein
NLM25_RS07370,NLM25_RS07370_26597_26780,hypothetical protein
NLM25_RS07375,NLM25_RS07375_26979_27291,hypothetical protein
NLM25_RS07380,NLM25_RS07380_28322_28502,hypothetical protein
NLM25_RS07385,NLM25_RS07385_29804_30335,DUF1269 domain-containing protein
NLM25_RS07390,NLM25_RS07390_31029_31800,outer membrane beta-barrel protein
NLM25_RS07395,NLM25_RS07395_31991_33019,patatin-like phospholipase family protein
NLM25_RS07400,NLM25_RS07400_33045_34496,GntP family permease
NLM25_RS07405,NLM25_RS07405_35000_35320,IS5/IS1182 family transposase
NLM25_RS07410,NLM25_RS07410_35946_36504,hypothetical protein
NLM25_RS07415,NLM25_RS07415_36816_37167,hypothetical protein
NLM25_RS07420,NLM25_RS07420_37260_37608,MFS transporter
NLM25_RS07425,NLM25_RS07425_38769_38919,hypothetical protein
NLM25_RS07430,NLM25_RS07430_40302_41697,FAD/NAD(P)-binding protein
NLM25_RS07435,NLM25_RS07435_42055_43945,sulfate adenylyltransferase subunit CysN
