Locus_Tag_Gene,Locus_Tag,Product
NLM15_RS06860,NLM15_RS06860_0_276,DUF1153 domain-containing protein
NLM15_RS06865,NLM15_RS06865_662_1370,flagellar biosynthesis protein FlgD
NLM15_RS06870,NLM15_RS06870_1383_3024,flagellar hook-length control protein FliK
NLM15_RS06875,NLM15_RS06875_3354_4536,tRNA 2-thiouridine(34) synthase MnmA
NLM15_RS06880,NLM15_RS06880_4559_5198,methyltransferase domain-containing protein
NLM15_RS06885,NLM15_RS06885_5354_5717,hypothetical protein
NLM15_RS06895,NLM15_RS06895_5976_7608,recombinase family protein
NLM15_RS06900,NLM15_RS06900_7546_7828,hypothetical protein
NLM15_RS06905,NLM15_RS06905_8214_9839,recombinase family protein
NLM15_RS06910,NLM15_RS06910_9958_11131,type IV secretion system DNA-binding domain-containing protein
NLM15_RS06915,NLM15_RS06915_11146_11509,hypothetical protein
NLM15_RS06920,NLM15_RS06920_11849_12260,DUF3085 domain-containing protein
NLM15_RS06925,NLM15_RS06925_12424_12634,hypothetical protein
NLM15_RS06930,NLM15_RS06930_12667_12910,hypothetical protein
NLM15_RS06935,NLM15_RS06935_14288_14612,hypothetical protein
NLM15_RS06940,NLM15_RS06940_14910_15195,DUF3892 domain-containing protein
NLM15_RS06945,NLM15_RS06945_15959_16157,cold-shock protein
NLM15_RS06950,NLM15_RS06950_16720_17134,hypothetical protein
NLM15_RS06955,NLM15_RS06955_18804_19311,hypothetical protein
NLM15_RS06960,NLM15_RS06960_19651_20044,hypothetical protein
NLM15_RS06965,NLM15_RS06965_20971_21793,condensation domain-containing protein
NLM15_RS06970,NLM15_RS06970_21957_22869,MFS transporter
NLM15_RS06975,NLM15_RS06975_23307_24356,integrase family protein
NLM15_RS06980,NLM15_RS06980_24715_24898,hypothetical protein
NLM15_RS06985,NLM15_RS06985_25097_25409,hypothetical protein
NLM15_RS06990,NLM15_RS06990_26440_26620,hypothetical protein
NLM15_RS06995,NLM15_RS06995_27922_28453,DUF1269 domain-containing protein
NLM15_RS07000,NLM15_RS07000_29147_29918,outer membrane beta-barrel protein
NLM15_RS07005,NLM15_RS07005_30109_31161,patatin-like phospholipase family protein
NLM15_RS07010,NLM15_RS07010_31164_32609,GntP family permease
NLM15_RS07015,NLM15_RS07015_33113_33433,IS5/IS1182 family transposase
NLM15_RS07020,NLM15_RS07020_34929_35280,hypothetical protein
NLM15_RS07025,NLM15_RS07025_35373_35694,hypothetical protein
NLM15_RS07030,NLM15_RS07030_36880_37030,hypothetical protein
NLM15_RS07035,NLM15_RS07035_38418_39813,FAD/NAD(P)-binding protein
NLM15_RS07040,NLM15_RS07040_40171_42061,sulfate adenylyltransferase subunit CysN
NLM15_RS07045,NLM15_RS07045_42060_42996,sulfate adenylyltransferase subunit CysD
NLM15_RS07050,NLM15_RS07050_44454_45440,ABC transporter ATP-binding protein
NLM15_RS07055,NLM15_RS07055_46198_46435,hypothetical protein
NLM15_RS07060,NLM15_RS07060_46877_47642,autoinducer binding domain-containing protein
